date,open,high,low,close,volume
25-May-2023,186.6134422224664,186.6134422224664,183.64352618960746,184.3217010498047,13605054
26-May-2023,184.8127888153839,188.27378724724613,184.74263623853273,187.87625122070312,7926180
29-May-2023,188.9519522930396,189.88735799746058,186.77713688489249,186.9875946044922,7959308
30-May-2023,187.08115476999222,188.8818137392853,186.82392389144724,188.2504119873047,7378972
31-May-2023,187.89962121799198,189.32610921057025,187.31499265166343,188.7882537841797,11783582
01-Jun-2023,189.41967355822524,190.82278225124915,188.97535009617047,190.42523193359375,7065484
02-Jun-2023,191.15017180190293,191.6646335487828,188.95196256771783,189.3962860107422,6320754
05-Jun-2023,191.24369658694647,191.64124687255236,188.81165027899956,189.04550170898438,7252860
06-Jun-2023,188.64795668904193,188.64795668904193,184.99986571555587,187.05776977539062,13707400
07-Jun-2023,188.20362300954693,188.76487213590022,187.54884187757358,188.3907012939453,8215860
08-Jun-2023,188.9987384507241,189.30274247096838,186.49652516441913,186.8706817626953,10615052
09-Jun-2023,186.82391670293526,187.24484643033955,185.23371553004972,185.81834411621094,12018232
12-Jun-2023,186.9875978439515,186.9875978439515,184.55555153421807,185.02325439453125,11973622
13-Jun-2023,186.12236096621064,186.37959183287708,184.5087803715684,184.99986267089844,13016186
14-Jun-2023,185.35064003635762,185.74819032698173,183.66692113774045,185.42080688476562,18512564
15-Jun-2023,185.72483134184685,185.88853021755807,181.5856576684995,181.91305541992188,28702320
16-Jun-2023,180.3228354601432,181.7727172088877,177.32953995273581,178.33509826660156,41110648
19-Jun-2023,178.66249436550692,178.66249436550692,176.3707531824659,177.7972412109375,10629440
20-Jun-2023,178.56893409810522,180.04220942546633,178.00769926815786,178.89633178710938,11802658
21-Jun-2023,179.71482515644317,181.11793374582334,179.17696971847917,180.29945373535156,8829264
22-Jun-2023,180.53328627309233,180.53328627309233,178.47539674533618,178.8027801513672,9356174
23-Jun-2023,178.80281047395954,179.13020820867,176.83846688517534,177.70372009277344,6470406
26-Jun-2023,177.72708054934205,178.61571309745716,177.28275713870548,178.14801025390625,4100400
27-Jun-2023,179.71482209073804,179.71482209073804,178.42863923908018,178.943115234375,5880750
28-Jun-2023,179.48098676790795,179.48098676790795,178.1012575121546,178.52220153808594,7140112
30-Jun-2023,180.06559730582677,182.28718584401554,179.13019160553674,182.00656127929688,9070810
03-Jul-2023,184.22814612725728,184.22814612725728,182.17025648247198,183.15243530273438,9036924
04-Jul-2023,184.15799869590248,185.84173182432528,183.80722155552934,185.18695068359375,12617234
05-Jul-2023,184.32169569314996,184.92970368774374,183.2693642826281,184.2281494140625,12366958
06-Jul-2023,184.5087782131612,185.65465592907162,183.877376497724,185.3038787841797,9037242
07-Jul-2023,184.74263220409688,185.88850993589213,183.9007727539493,185.1401824951172,9065220
10-Jul-2023,185.1401813443063,185.1401813443063,182.2404178817626,182.3807373046875,5630400
11-Jul-2023,182.40409945157873,183.71366163581433,181.39854124513099,183.36288452148438,9634838
12-Jul-2023,184.22814853015456,184.2515422363933,182.56780913300506,183.2693634033203,6848220
13-Jul-2023,183.26937394986382,186.426368347957,182.9887493709571,184.4152374267578,13595726
14-Jul-2023,184.6257051610082,189.65351093803375,183.50322114449003,189.4430389404297,31366784
17-Jul-2023,190.3550742446192,198.7503467418213,189.79382507320918,194.213623046875,45759860
18-Jul-2023,195.49979745165064,196.57550833123594,192.81050597952864,195.12564086914062,17769026
19-Jul-2023,196.4352103693901,196.90291325122197,193.69914565604174,195.47642517089844,10830990
20-Jul-2023,195.73365565006316,196.43520997138955,193.93299670402692,195.3361053466797,8255710
21-Jul-2023,189.4196477923206,193.79267214536745,187.54883645610016,189.2793426513672,23514212
24-Jul-2023,190.02767327042733,190.82277387081936,188.71811092371473,188.975341796875,6808460
25-Jul-2023,189.65350639280013,189.65350639280013,187.08114070806423,187.26821899414062,6458200
26-Jul-2023,188.7181019703103,188.7648751104365,187.7359231202941,188.36732482910156,5329662
27-Jul-2023,188.95196070187603,190.1679910263714,186.6134463367538,187.05776977539062,8948358
28-Jul-2023,187.57223189696435,188.41410563400828,185.4675689640931,186.49652099609375,6760060
31-Jul-2023,186.9642194759038,189.88736236952332,186.59006289478396,189.4430389404297,6762180
01-Aug-2023,189.65350545686826,190.82276258052343,188.97533061588499,190.33168029785156,7181804
02-Aug-2023,189.84058297605944,189.84058297605944,186.61343618242358,188.3907012939453,5399618
03-Aug-2023,188.01655455506835,188.01655455506835,185.7014196292685,186.91744995117188,6821698
04-Aug-2023,187.47869868742427,191.75817710226997,187.2214535444893,191.22032165527344,12481540
07-Aug-2023,191.73480087592944,193.16128894702516,190.84615398767002,192.29603576660156,8822866
08-Aug-2023,192.88065637488867,195.26594381262066,191.7347929331768,194.72808837890625,15724284
09-Aug-2023,194.33053912685247,195.73364771260594,192.95080997493147,195.40625,9309388
10-Aug-2023,195.07888395766474,196.80937613719058,194.35393589314617,195.80381774902344,9901644
11-Aug-2023,195.8038007528335,197.44076077343814,192.85727842500864,193.18466186523438,7571468
